chunk_id,doc_id,title,topic,url,source_type,source_name,section,chunk_order,last_edited,retrieved,chunk_text,db_chunk_id
gov_002_004,gov_002,Application for Employment Authorization | USCIS,i765,https://www.uscis.gov/i-765,gov,uscis,"I-765, Application for Employment Authorization > Form Details",4,4/13/2026,4/19/2026,"is pending. | (c)(10) | If you are eligible to apply for NACARA 203 relief with USCIS, you may file Form I-765 together with your Form I-881, Application for Suspension of Deportation or Special Rule Cancellation of Removal (Under Section 203 of Public Law 105-100 (NACARA)). | (c)(11) | File Form I-765 with sufficient evidence to show that your parole status is current and has not expired or is about to expire. | (c)(26) | You may file Form I-765 at the same time as your Form I-539 and your H1-B spouse’s Form I-129, Petition for a Nonimmigrant Worker. | (c)(36) | You may file your Form I-765 with your spouse’s or parent’s application under (c)(35). | (c)(37) | Applicants may file to renew their EAD up to 180 days before they expire but, they must file before their current EAD expires. EAD renewals may be granted as long as the CNMI resident continues to meet all eligibility requirements for the underlying CNMI long-term resident status. Applicants do not need to file another Form I-955, the application for CNMI Long-Term resident status, when renewing their EAD. |",11
gov_002_005,gov_002,Application for Employment Authorization | USCIS,i765,https://www.uscis.gov/i-765,gov,uscis,"I-765, Application for Employment Authorization > Form Details",5,4/13/2026,4/19/2026,"You can find the filing fee for Form I-765 by visiting our [Fee Schedule](https://www.uscis.gov/g-1055?form=i-601) page.

USCIS no longer accepts payments made by personal or business check, money order, or cashier’s check for forms filed by paper unless you qualify for an exemption. When filing by mail, you can pay by credit, debit, or prepaid card by completing [Form G-1450, Authorization for Credit Card Transactions](/node/49828), or you can make a payment directly from a U.S. bank account by completing [Form G-1650, Authorization for ACH Transactions](/node/99827).

If you qualify for an exemption from the requirement to use an electronic payment method, you will need to complete and file [Form G-1651, Exemption for Paper Fee Payment](/node/99993), along with submitting the correct payment.

Before sending your package to USCIS, watch [What and How to Pay](https://youtu.be/5HZMXx2ffJ0) for additional guidance on how to file at the USCIS Lockbox with the correct payment.

USCIS continues to accept payments made through[ Pay.gov](https://www.pay.gov/public/home) for applications and petitions [filed online](/node/81777).

For more information visit our [Filing Fees](/node/41953) webpage.

View the [checklist](/forms/filing-guidance/checklist-of-required-initial-evidence-for-form-i-765-for-informational-purposes-only) of required initial evidence.

**Filing Tips: **Review our [Tips for Filing Forms by Mail](/forms/filing-guidance/tips-for-filing-forms-by-mail) page for information on how to ensure we will accept your form.

**Don’t forget to sign your form.** We will reject any unsigned form.

**E-Notification: **If you want to receive an email and/or a text message that we have accepted your form at a USCIS lockbox, complete [Form G-1145, E-Notification of Application/Petition Acceptance](https://www.uscis.gov/g-1145), and clip it to the first page of your form.

**Afghan Parolee**

If you are an Afghan national paroled into the United States and you are applying for employment authorization, you will need a Social Security number (SSN) to work in the United States. Your SSN allows employers to report your earnings to the U.S. government. You must make an appointment to visit a Social Security Administration office in person to apply for your SSN after you receive your Employment Authorization Document (Form I-766).

**Replacing a Card That Has Incorrect Information**

- If the card we issued to you contains incorrect information that
**is not due**to our error, you must use the[filing locations for Form I-765](/i-765-addresses)associated with your eligibility category to submit your form and filing fee. - If the card we issued to you contains incorrect information that
**is due**to our error, you do not need to file a new Form I-765 and filing fee. Please check the[filing locations for Form I-765](/i-765-addresses)under the heading “Replacement for Card Error” for instructions.

**Replacing a Non-Delivered Card**

- If you did not receive your card, we may reissue the card if the original document was not delivered to you after the first or subsequent delivery attempts. You generally do not have to pay a new fee if the reason you did not receive your document is due to our error or United States Postal Service (USPS) error. See our
[Immigration Documents and How to Correct, Update, or Replace Them](/tools/uscis-tools-and-resources/immigration-documents-and-how-to-correct-update-or-replace-them)page under the heading “Replacing Your Non-Delivered Document” for additional information.",12
gov_002_006,gov_002,Application for Employment Authorization | USCIS,i765,https://www.uscis.gov/i-765,gov,uscis,"I-765, Application for Employment Authorization > Form Details",6,4/13/2026,4/19/2026,"- If you did not receive your card, we may reissue the card if the original document was not delivered to you after the first or subsequent delivery attempts. You generally do not have to pay a new fee if the reason you did not receive your document is due to our error or United States Postal Service (USPS) error. See our
[Immigration Documents and How to Correct, Update, or Replace Them](/tools/uscis-tools-and-resources/immigration-documents-and-how-to-correct-update-or-replace-them)page under the heading “Replacing Your Non-Delivered Document” for additional information.

**Liberian Refugee Immigration Fairness (LRIF) Applicants:** If you are filing Form I-765 as an adjustment of status applicant based on LRIF, you should write “(c)(9)” as your eligibility category in Part 2, Item Number 27 on your Form I-765. See our [LRIF page](/green-card/green-card-eligibility/liberian-refugee-immigration-fairness) for more information on adjustment of status based on LRIF.

**Deferred Action for Childhood Arrivals requestors:** To be considered for DACA, you must submit:

- Form I-821D, Consideration of Deferred Action for Childhood Arrivals;
- Form I-765, Application for Employment Authorization;
- Form I-765 Worksheet; and
- The correct fees.

**Note:** If you are a current DACA recipient and only need to replace a valid Employment Authorization Document (EAD) because yours was lost, stolen, or damaged, file Form I-765, Application for Employment Authorization, and select box 1.b. Submit the properly completed Form I-765, evidence that you are a current DACA recipient (such as your most recent DACA approval notice), and the filing fee to the [filing address](https://www.uscis.gov/forms/all-forms/direct-filing-addresses-for-form-i-821d-consideration-of-deferred-action-for-childhood-arrivals) for the location where you live. Do not file Form I-821D, Consideration of Deferred Action for Childhood Arrivals, with this Form I-765; if you submit Form I-821D when you are filing to replace a lost, stolen, or damaged EAD, we will deny your Form I-821D and we will not refund the $85 filing fee for Form I-821D.

**T Applicants**: If you are a principal T nonimmigrant applicant, you are authorized to work based on your status. After we approve the underlying application for T nonimmigrant status, we will issue you an Employment Authorization Document (EAD). This means you will not need to file Form I-765.

If you are a derivative family member residing inside the United States, you are also authorized to work based on your status. After we approve the underlying application for derivative T nonimmigrant status, we will not issue you an EAD. You will need to file Form I-765.",13
gov_002_007,gov_002,Application for Employment Authorization | USCIS,i765,https://www.uscis.gov/i-765,gov,uscis,"I-765, Application for Employment Authorization > Form Details",7,4/13/2026,4/19/2026,"**T Applicants**: If you are a principal T nonimmigrant applicant, you are authorized to work based on your status. After we approve the underlying application for T nonimmigrant status, we will issue you an Employment Authorization Document (EAD). This means you will not need to file Form I-765.

If you are a derivative family member residing inside the United States, you are also authorized to work based on your status. After we approve the underlying application for derivative T nonimmigrant status, we will not issue you an EAD. You will need to file Form I-765.

If you live in the United States, you may receive deferred action and employment authorization if you have a pending bona fide application and meet certain discretionary standards. Generally, you will only be eligible for these benefits associated with a bona fide determination if you file a bona fide application for T nonimmigrant status on or after Aug. 28, 2024. We strongly encourage you to file Form I-765 under category (c)(40) at the same time you file your application for T nonimmigrant status, to timely receive deferred action and employment authorization. If you do not file Form I-765 concurrently, we will issue a notice instructing you how to file a Form I-765 for employment authorization associated with a bona fide determination.

**U Petitioners:** If you are a principal U nonimmigrant petitioner, you are authorized to work based on your status. After we approve the underlying petition for U nonimmigrant status, we will issue you an Employment Authorization Document (EAD). This means you will not need to file Form I-765.

If you are a derivative family member residing inside the United States, you are also authorized to work based on your status. After we approve the underlying petition for derivative U nonimmigrant status, we will not issue you an EAD. This means you will need to file Form I-765.

We can only issue EADs for principals and derivatives after we approve the underlying U nonimmigrant status petition, regardless of when you file Form I-765.

If you live in the United States, you may receive employment authorization and deferred action if you have a pending bona fide petition and meet certain discretionary standards. We will issue a notice if you need to file a Form I-765 for employment authorization associated with a bona fide determination.

If the statutory cap is reached in a fiscal year and we use the waiting list process described at 8 CFR 214.14(d)(2), petitioners for U nonimmigrant status and derivatives in the United States can apply for employment authorization using Form I-765 based on deferred action. We can only approve an application for employment authorization based on deferred action after DHS has issued deferred action in your case, regardless of when you file Form I-765.

**Asylum Applicants:** Please refer to our [Asylum](/humanitarian/refugees-and-asylum/asylum) page for more information, including information about the effect of applicant-caused delays on your Form I-765 adjudication.",14
gov_002_008,gov_002,Application for Employment Authorization | USCIS,i765,https://www.uscis.gov/i-765,gov,uscis,"I-765, Application for Employment Authorization > Form Details",8,4/13/2026,4/19/2026,"If the statutory cap is reached in a fiscal year and we use the waiting list process described at 8 CFR 214.14(d)(2), petitioners for U nonimmigrant status and derivatives in the United States can apply for employment authorization using Form I-765 based on deferred action. We can only approve an application for employment authorization based on deferred action after DHS has issued deferred action in your case, regardless of when you file Form I-765.

**Asylum Applicants:** Please refer to our [Asylum](/humanitarian/refugees-and-asylum/asylum) page for more information, including information about the effect of applicant-caused delays on your Form I-765 adjudication.

- If you: Have an unexpired Employment Authorization Document (EAD) that was approved based on a pending Form I-589 before EOIR dismissed or terminated your removal proceedings.
 Your current EAD will remain valid until its expiration date. Before your EAD expires, you may renew it by submitting:
We recommend that you also submit:
If USCIS has granted you employment authorization under the (c)(8) filing category, the appropriate fee must accompany any renewal applications filed under category (c)(8). |
| Have a pending Form I-765 to renew your (c)(8)-based EAD, and you had a pending Form I-589 with EOIR before EOIR dismissed or terminated your removal proceedings. | USCIS may renew your EAD, if you submit:
We recommend that you also submit:
|
Have never been granted employment authorization under the (c)(8) filing category and:
EOIR dismissed or terminated your removal proceedings. | You may file Form I-765 according to the instructions for requesting an EAD based on a pending asylum application. You should submit:
We recommend that you also submit:
|
| Are not yet eligible for an initial (c)(8)-based EAD on the basis of the Form I-589 that was pending with EOIR before EOIR dismissed or terminated your removal proceedings. | You will generally continue to accumulate time to meet the 180-day
We recommend that you also submit:
Submit your new paper Form I-589 with your current address using the chart in the “Where to File” section of the |
| Already have a (c)(8)-based EAD you need to renew because it will expire soon, and EOIR dismissed or terminated your removal proceedings. | Before your EAD expires, you will need to renew it by submitting:
We recommend that you also submit:
The appropriate fee must accompany any renewal applications filed under category (c)(8). |
| Filed Form I-765 based on (c)(8) eligibility, but we denied your Form I-765 because EOIR dismissed or terminated your removal proceedings. | You may reapply for an EAD or apply to renew your EAD by submitting Form I-765 to USCIS. You should include:
We recommend that you also submit:
If USCIS has granted you employment authorization under the (c)(8) category, the appropriate filing fee must accompany your renewal application. If you are reapplying for employment authorization under the (c)(8) category, and this is not your initial employment authorization, the appropriate filing fee must accompany your application. |",15
gov_002_009,gov_002,Application for Employment Authorization | USCIS,i765,https://www.uscis.gov/i-765,gov,uscis,"I-765, Application for Employment Authorization > Form Details",9,4/13/2026,4/19/2026,"- If you: Have an unexpired Employment Authorization Document (EAD) that was approved based on a pending Form I-589 before EOIR dismissed or terminated your removal proceedings.
 Your current EAD will remain valid until its expiration date. Before your EAD expires, you may renew it by submitting:
We recommend that you also submit:
If USCIS has granted you employment authorization under the (c)(8) filing category, the appropriate fee must accompany any renewal applications filed under category (c)(8). |
| Have a pending Form I-765 to renew your (c)(8)-based EAD, and you had a pending Form I-589 with EOIR before EOIR dismissed or terminated your removal proceedings. | USCIS may renew your EAD, if you submit:
We recommend that you also submit:
|
Have never been granted employment authorization under the (c)(8) filing category and:
EOIR dismissed or terminated your removal proceedings. | You may file Form I-765 according to the instructions for requesting an EAD based on a pending asylum application. You should submit:
We recommend that you also submit:
|
| Are not yet eligible for an initial (c)(8)-based EAD on the basis of the Form I-589 that was pending with EOIR before EOIR dismissed or terminated your removal proceedings. | You will generally continue to accumulate time to meet the 180-day
We recommend that you also submit:
Submit your new paper Form I-589 with your current address using the chart in the “Where to File” section of the |
| Already have a (c)(8)-based EAD you need to renew because it will expire soon, and EOIR dismissed or terminated your removal proceedings. | Before your EAD expires, you will need to renew it by submitting:
We recommend that you also submit:
The appropriate fee must accompany any renewal applications filed under category (c)(8). |
| Filed Form I-765 based on (c)(8) eligibility, but we denied your Form I-765 because EOIR dismissed or terminated your removal proceedings. | You may reapply for an EAD or apply to renew your EAD by submitting Form I-765 to USCIS. You should include:
We recommend that you also submit:
If USCIS has granted you employment authorization under the (c)(8) category, the appropriate filing fee must accompany your renewal application. If you are reapplying for employment authorization under the (c)(8) category, and this is not your initial employment authorization, the appropriate filing fee must accompany your application. |

For general employment authorization requirements based on a pending asylum application, see the “Permission to Work in the United States” section on the [Asylum](/humanitarian/refugees-and-asylum/asylum) page.",16
gov_003_001,gov_003,Students and Employment | USCIS,employment,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/students-and-employment,gov,uscis,Students and Employment,1,11/20/2025,4/19/2026,"If you would like to study as a full-time student in the United States, you will generally need a student visa. There are two nonimmigrant visa categories for persons wishing to study in the United States. These visas are commonly known as the F and M visas.

You may enter in the F-1 or M-1 visa category provided you meet the following criteria:

- You must be enrolled in an ""academic"" educational program, a language-training program, or a vocational program
- Your school must be approved by the Student and Exchange Visitors Program, Immigration & Customs Enforcement
- You must be enrolled as a full-time student at the institution
- You must be proficient in English or be enrolled in courses leading to English proficiency
- You must have sufficient funds available for self-support during the entire proposed course of study
- You must maintain a residence abroad which you have no intention of giving up.",17
gov_003_002,gov_003,Students and Employment | USCIS,employment,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/students-and-employment,gov,uscis,Students and Employment > F-1 Student Visa,2,11/20/2025,4/19/2026,"The F-1 Visa (Academic Student) allows you to enter the United States as a full-time student at an SEVP-certified college, university, seminary, conservatory, academic high school, elementary school, or other academic institution or in a language training program. You must be enrolled in a program or course of study that culminates in a degree, diploma, or certificate and your school must be authorized by the U.S. government to accept foreign students.",18
gov_003_003,gov_003,Students and Employment | USCIS,employment,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/students-and-employment,gov,uscis,Students and Employment > M-1 Student Visa,3,11/20/2025,4/19/2026,"The M-1 visa (Vocational Student) category includes students in vocational or other nonacademic programs, other than language training.",19
gov_003_004,gov_003,Students and Employment | USCIS,employment,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/students-and-employment,gov,uscis,Students and Employment > Employment,4,11/20/2025,4/19/2026,"F-1 students may not work off-campus during the first academic year, but may accept on-campus employment subject to certain conditions and restrictions. After the first academic year, F-1 students may engage in three types of off-campus employment:

- Curricular Practical Training (CPT)
[Optional Practical Training (OPT) (pre-completion or post-completion)](/node/50597)[Science, Technology, Engineering, and Mathematics (STEM) Optional Practical Training Extension (OPT)](/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-extension-for-stem-students-stem-opt)

F-1 students may also be eligible to work off-campus on a case-by-case basis as a result of [special situations](/newsroom/immigration-relief-in-emergencies-or-unforeseen-circumstances) such as severe economic hardship or special student relief. M-1 students may engage in practical training only after they have completed their studies.

For both F-1 and M-1 students any off-campus training employment must be related to their area of study and must be authorized prior to starting any work by the Designated School Official (the person authorized to maintain the Student and Exchange Visitor Information System (SEVIS)) and USCIS.

In general, only aliens who have permission from DHS to work can apply for a Social Security number.",20
gov_003_005,gov_003,Students and Employment | USCIS,employment,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/students-and-employment,gov,uscis,Students and Employment > Special Instructions,5,11/20/2025,4/19/2026,"If you are interested in changing to F or M Student Status, see the [Changing to a Nonimmigrant F or M Student Status](/working-in-the-united-states/students-and-exchange-visitors/students-and-employment/changing-to-a-nonimmigrant-f-or-m-student-status) page.",21
gov_003_006,gov_003,Students and Employment | USCIS,employment,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/students-and-employment,gov,uscis,Students and Employment > Additional Resources,6,11/20/2025,4/19/2026,"For more information on the nonimmigrant student (F and M) classifications, see the [USCIS Policy Manual](/policy-manual/volume-2-part-f).

For more information on the residence abroad requirement, see 9 FAM 402.5-5(E)(1) of the [U.S. Department of State Foreign Affairs Manual](https://fam.state.gov/fam/09FAM/09FAM040205.html).

For more information on the Student and Exchange Visitors Program, see the [Student & Exchange Visitor Program, Immigration & Customs Enforcement](http://www.ice.gov/sevis/schools) and the [Study in the States Training Opportunities in the United States](https://studyinthestates.dhs.gov/training-opportunities-in-the-united-states) pages.

For more information on Foreign Students and Social Security Numbers, see the [Social Security Administration](https://www.ssa.gov/) website.",22
gov_004_001,gov_004,Optional Practical Training Extension for STEM Students (STEM OPT) | USCIS,stem opt,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-extension-for-stem-students-stem-opt,gov,uscis,Optional Practical Training Extension for STEM Students (STEM OPT),1,1/30/2026,4/19/2026,"Certain F-1 students who receive science, technology, engineering, and mathematics (STEM) degrees may apply for a 24-month extension of their post-completion optional practical training (OPT).",23
